Site,Treatment,Colony,Date,Mass,Brood,Framesbees,Updatedbrood
Curtiss,Soybean,29,6/7/16,5.45,62,3,105648
Curtiss,Soybean,30,6/7/16,9.4,246,11,419184
Curtiss,Soybean,31,6/7/16,6.2,200,9,340800
Curtiss,Soybean,32,6/7/16,5.9,88,12,149952
Oakland,Soybean,33,6/7/16,6.55,176.5,6,300756
Oakland,Soybean,34,6/7/16,8.25,93.5,6,159324
Oakland,Soybean,35,6/7/16,4.45,58.5,3,99684
Oakland,Soybean,36,6/7/16,5.45,186.5,5.5,317796
Kostelnick,Soybean,37,6/7/16,4.9,132,8,224928
Kostelnick,Soybean,38,6/7/16,6.45,180,12,306720
Kostelnick,Soybean,39,6/7/16,6.2,94,6,160176
Kostelnick,Soybean,40,6/7/16,6.1,182,9,310128
7 Pines,CSA,41,6/7/16,6.95,153,7,260712
7 Pines,CSA,42,6/7/16,11.15,219,15,373176
7 Pines,CSA,43,6/7/16,9.2,207,11.5,352728
7 Pines,CSA,44,6/7/16,10.3,135,9,230040
Black Cat,CSA,45,6/7/16,6.5,181,10,308424
Black Cat,CSA,46,6/7/16,8.45,128,10,218112
Black Cat,CSA,47,6/7/16,9.9,0,6,0
Black Cat,CSA,48,6/7/16,6.1,71,2.5,120984
River Ridge,CSA,49,6/7/16,5.35,102,6,173808
River Ridge,CSA,50,6/7/16,5.2,58,3.5,98832
River Ridge,CSA,51,6/7/16,7.35,194,9,330576
River Ridge,CSA,52,6/7/16,10.95,243,10,414072
Mustard Seed,CSA,53,6/7/16,10.3,284,11,483936
Mustard Seed,CSA,54,6/7/16,4,54,4,92016
Mustard Seed,CSA,55,6/7/16,8.35,188,8,320352
Mustard Seed,CSA,56,6/7/16,11.9,139,11,236856
Berry Patch Farm,CSA,57,6/7/16,6.15,85,5.5,144840
Berry Patch Farm,CSA,58,6/7/16,7.3,179.5,8.5,305868
Berry Patch Farm,CSA,59,6/7/16,11.7,62.5,9,106500
Berry Patch Farm,CSA,60,6/7/16,6.15,99,10,168696
Uthe,Soybean,1,6/27/16,5.95,91.5,7,155916
Uthe,Soybean,2,6/27/16,15.83,259.5,11.5,442188
Uthe,Soybean,3,6/27/16,15.89,308.5,22,525684
Uthe,Soybean,4,6/27/16,5.09,78,5.5,132912
Ontario,Soybean,5,6/27/16,6.2,154,5,262416
Ontario,Soybean,6,6/27/16,11.55,191,16,325464
Ontario,Soybean,7,6/27/16,4.9,112,4,190848
Ontario,Soybean,8,6/27/16,11.85,240,10,408960
Tracy 3,Soybean,9,6/27/16,3.1,35,4,59640
Tracy 3,Soybean,10,6/27/16,4.3,39,4,66456
Tracy 3,Soybean,11,6/27/16,6.4,122,11,207888
Tracy 3,Soybean,12,6/27/16,4.05,45,3,76680
Haglund 1,Soybean,13,6/27/16,5.75,127,7,216408
Haglund 1,Soybean,14,6/27/16,7.4,175,10,298200
