Site,Treatment,Colony,Date,Mass,Brood,Framesbees,Updatedbrood
Tracy 1,Soybean,18,8/31/16,14.05,91,8,155064
Tracy 1,Soybean,19,8/31/16,7.45,10,4,17040
Tracy 1,Soybean,20,8/31/16,10.15,266,15,453264
Ivis,Soybean,21,8/31/16,12.1,143,20,243672
Ivis,Soybean,22,8/31/16,36,166,36.5,282864
Ivis,Soybean,23,8/31/16,15.35,328,20,558912
Ivis,Soybean,24,8/31/16,36.4,288,24.5,490752
East Dairy,Soybean,25,8/31/16,35.5,341,26,581064
East Dairy,Soybean,26,8/31/16,18.7,186,18.5,316944
East Dairy,Soybean,27,8/31/16,22.4,165,34,281160
East Dairy,Soybean,28,8/31/16,22.95,203.5,34.5,346764
Curtiss,Soybean,29,8/31/16,10,159,29,270936
Curtiss,Soybean,30,8/31/16,41,63,25,107352
Curtiss,Soybean,31,8/31/16,34.75,125,34,213000
Curtiss,Soybean,32,8/31/16,6.65,10,6.5,17040
Oakland,Soybean,33,8/31/16,29.65,205,24,349320
Oakland,Soybean,34,8/31/16,21.7,176,19.5,299904
Oakland,Soybean,35,8/31/16,12,154,21,262416
Oakland,Soybean,36,8/31/16,23.3,268,33,456672
Kostelnick,Soybean,37,8/31/16,6.65,120,23.5,204480
Kostelnick,Soybean,38,8/31/16,2.35,0,5,0
Kostelnick,Soybean,39,8/31/16,8.85,58,15.5,98832
Kostelnick,Soybean,40,8/31/16,5.15,20,14,34080
7 Pines,CSA,41,8/31/16,32.1,251,39,427704
7 Pines,CSA,42,8/31/16,33.75,287,27,489048
7 Pines,CSA,43,8/31/16,42.4,219,21.5,373176
7 Pines,CSA,44,8/31/16,23.35,141,27,240264
Black Cat,CSA,45,8/31/16,21.5,222,41.5,378288
Black Cat,CSA,46,8/31/16,8,167,14,284568
Black Cat,CSA,47,8/31/16,11.85,121,7.5,206184
Black Cat,CSA,48,8/31/16,29.5,218,15,371472
River Ridge,CSA,49,8/31/16,23.85,248,33,422592
River Ridge,CSA,50,8/31/16,11.65,242,31.5,412368
River Ridge,CSA,51,8/31/16,5.15,0,7,0
River Ridge,CSA,52,8/31/16,41.85,235,39.5,400440
Mustard Seed,CSA,53,8/31/16,28.55,241,31,410664
Mustard Seed,CSA,54,8/31/16,26.7,180,23,306720
Mustard Seed,CSA,55,8/31/16,23.95,179,27,305016
Mustard Seed,CSA,56,8/31/16,19.45,184,21.5,313536
Berry Patch Farm,CSA,57,8/31/16,11.2,270,19.5,460080
Berry Patch Farm,CSA,58,8/31/16,17.4,218,26,371472
Berry Patch Farm,CSA,59,8/31/16,12.25,119,15.5,202776
Berry Patch Farm,CSA,60,8/31/16,18.35,231,25,393624
Uthe,Soybean,1,9/21/16,8.75,27,26.5,46008
Uthe,Soybean,2,9/21/16,17.88,108,30,184032
Uthe,Soybean,3,9/21/16,15.1,92,22,156768
Uthe,Soybean,4,9/21/16,8.5,49,23,83496
Ontario,Soybean,5,9/21/16,4.7,45,9,76680
Ontario,Soybean,6,9/21/16,2.9,0,0,0
Ontario,Soybean,7,9/21/16,3.95,0,10,0
Ontario,Soybean,8,9/21/16,9.95,59,10,100536
Tracy 3,Soybean,9,9/21/16,1.75,0,2,0
Tracy 3,Soybean,10,9/21/16,1.85,2,2,3408
Tracy 3,Soybean,11,9/21/16,5.35,0,14,0
Tracy 3,Soybean,12,9/21/16,2.05,10,6,17040
Haglund 1,Soybean,13,9/21/16,6.65,52,17,88608
Haglund 1,Soybean,14,9/21/16,14.15,44,26.5,74976
Haglund 1,Soybean,15,9/21/16,10.4,104,12,177216
Haglund 1,Soybean,16,9/21/16,20.55,0,27.5,0
Tracy 1,Soybean,17,9/21/16,19.6,102,12,173808
Tracy 1,Soybean,18,9/21/16,10.35,82,14,139728
Tracy 1,Soybean,19,9/21/16,5.85,0,0,0
Tracy 1,Soybean,20,9/21/16,7.55,149,20.5,253896
Ivis,Soybean,21,9/21/16,8.9,110,14,187440
Ivis,Soybean,22,9/21/16,29.3,112,24.5,190848
Ivis,Soybean,23,9/21/16,10.5,161,23,274344
Ivis,Soybean,24,9/21/16,27.75,65,20,110760
East Dairy,Soybean,25,9/21/16,29.55,200,24,340800
East Dairy,Soybean,26,9/21/16,14.25,99,22.5,168696
East Dairy,Soybean,27,9/21/16,16.75,62,23,105648
East Dairy,Soybean,28,9/21/16,21.9,98,21,166992
Curtiss,Soybean,29,9/21/16,8.1,23,13,39192
Curtiss,Soybean,30,9/21/16,34.9,0,30,0
Curtiss,Soybean,31,9/21/16,29.95,111,23,189144
Curtiss,Soybean,32,9/21/16,5.35,0,0,0
Oakland,Soybean,33,9/21/16,23.75,73,29,124392
Oakland,Soybean,34,9/21/16,19.4,89,16,151656
Oakland,Soybean,35,9/21/16,7.35,38,13,64752
Oakland,Soybean,36,9/21/16,18.15,30,29,51120
Kostelnick,Soybean,37,9/21/16,12.6,59,8,100536
Kostelnick,Soybean,38,9/21/16,4.55,3,1,5112
Kostelnick,Soybean,39,9/21/16,12.4,0,9,0
Kostelnick,Soybean,40,9/21/16,8.75,17,3,28968
7 Pines,CSA,41,9/21/16,35.4,204,30,347616
7 Pines,CSA,42,9/21/16,31.45,64,25,109056
7 Pines,CSA,43,9/21/16,45.85,93,25,158472
7 Pines,CSA,44,9/21/16,17.9,77,12,131208
Black Cat,CSA,45,9/21/16,17.15,57,23.5,97128
Black Cat,CSA,46,9/21/16,6.9,28,10,47712
Black Cat,CSA,47,9/21/16,11.65,83,11.5,141432
Black Cat,CSA,48,9/21/16,38.9,68,15,115872
River Ridge,CSA,49,9/21/16,21.25,123,24,209592
River Ridge,CSA,50,9/21/16,8.15,99.5,19.5,169548
River Ridge,CSA,51,9/21/16,5.85,0,0,0
River Ridge,CSA,52,9/21/16,36.6,133,11,226632
Mustard Seed,CSA,53,9/21/16,25.8,181,18,308424
Mustard Seed,CSA,54,9/21/16,23.8,117.5,18,200220
Mustard Seed,CSA,55,9/21/16,20.9,107,16,182328
Mustard Seed,CSA,56,9/21/16,17.6,146,18.5,248784
Berry Patch Farm,CSA,57,9/21/16,9.8,100,14.5,170400
Berry Patch Farm,CSA,58,9/21/16,19.05,91,21,155064
Berry Patch Farm,CSA,59,9/21/16,10.9,50,10.5,85200
Berry Patch Farm,CSA,60,9/21/16,16.75,70,20,119280
Uthe,Soybean,1,10/18/16,5.765232,8,5,13632
Uthe,Soybean,2,10/18/16,16.066096,8,19,13632
Uthe,Soybean,3,10/18/16,10.24756,12,7,20448
Uthe,Soybean,4,10/18/16,11.980176,6,9.5,10224
Ontario,Soybean,5,10/18/16,0,0,0,0
Ontario,Soybean,6,10/18/16,0,0,0,0
Ontario,Soybean,7,10/18/16,2.629024,3,3,5112
Ontario,Soybean,8,10/18/16,6.165232,13,5.5,22152
Tracy 3,Soybean,9,10/18/16,0,0,0,0
Tracy 3,Soybean,10,10/18/16,0,0,0,0
Tracy 3,Soybean,11,10/18/16,2.629024,0,4,0
Tracy 3,Soybean,12,10/18/16,0,0,0,0
Haglund 1,Soybean,13,10/18/16,2.175432,0,13,0
Haglund 1,Soybean,14,10/18/16,11.608336,6,10,10224
Haglund 1,Soybean,15,10/18/16,3.697272,6,12,10224
Haglund 1,Soybean,16,10/18/16,17.412504,0,9,0
Tracy 1,Soybean,17,10/18/16,17.712216,32,16,54528
Tracy 1,Soybean,18,10/18/16,7.9796,7.5,11,12780
Tracy 1,Soybean,19,10/18/16,0,0,0,0
Tracy 1,Soybean,20,10/18/16,12.01552,0,12,0
Ivis,Soybean,21,10/18/16,3.536208,4,6.5,6816
Ivis,Soybean,22,10/18/16,18.77328,24.5,17,41748
Ivis,Soybean,23,10/18/16,7.072416,22,10,37488
Ivis,Soybean,24,10/18/16,16.051728,110,19,187440
East Dairy,Soybean,25,10/18/16,22.0092,13.5,6.5,23004
East Dairy,Soybean,26,10/18/16,8.433192,13,7,22152
East Dairy,Soybean,27,10/18/16,12.969112,5,10,8520
East Dairy,Soybean,28,10/18/16,19.305608,1,9.5,1704
Curtiss,Soybean,29,10/18/16,3.44368,0,6,0
Curtiss,Soybean,30,10/18/16,25.57716,46,13.5,78384
Curtiss,Soybean,31,10/18/16,16.519688,28,8,47712
Curtiss,Soybean,32,10/18/16,0.12572,0,0,0
Oakland,Soybean,33,10/18/16,23.562792,16,7.5,27264
Oakland,Soybean,34,10/18/16,18.169688,11,11,18744
Oakland,Soybean,35,10/18/16,8.433192,4,1.5,6816
Oakland,Soybean,36,10/18/16,18.169688,4,12,6816
Kostelnick,Soybean,37,10/18/16,3.265232,0,0,0
Kostelnick,Soybean,38,10/18/16,1.268248,0,0,0
Kostelnick,Soybean,39,10/18/16,4.350864,0,2,0
Kostelnick,Soybean,40,10/18/16,1.782904,20,0.5,34080
7 Pines,CSA,41,10/18/16,23.973568,69.5,20.5,118428
7 Pines,CSA,42,10/18/16,10.362216,9,4,15336
7 Pines,CSA,43,10/18/16,32.399288,16,25,27264
7 Pines,CSA,44,10/18/16,12.061928,16,7.5,27264
Black Cat,CSA,45,10/18/16,8.03736,2,7,3408
Black Cat,CSA,46,10/18/16,4.250864,0,5.5,0
Black Cat,CSA,47,10/18/16,5.954456,10,5,17040
Black Cat,CSA,48,10/18/16,15.951728,0,8,0
River Ridge,CSA,49,10/18/16,6.526296,30,8,51120
River Ridge,CSA,50,10/18/16,0.443968,0,5,0
River Ridge,CSA,51,10/18/16,1.268248,0,0,0
River Ridge,CSA,52,10/18/16,35.453168,9,10,15336
Mustard Seed,CSA,53,10/18/16,14.066096,102,22,173808
Mustard Seed,CSA,54,10/18/16,20.680176,33,11,56232
Mustard Seed,CSA,55,10/18/16,20.134056,6,18,10224
Mustard Seed,CSA,56,10/18/16,15.387072,26,5,44304
Berry Patch Farm,CSA,57,10/18/16,4.350864,23.5,9,40044
Berry Patch Farm,CSA,58,10/18/16,16.051728,31.5,14,53676
Berry Patch Farm,CSA,59,10/18/16,6.618824,0,12,0
Berry Patch Farm,CSA,60,10/18/16,15.90532,22,8,37488
